video_id,title,published_at,length_sec,engaged_views,avg_watch_time,avg_view_pct,premium_jpy,page_ad_jpy,doubleclick_jpy,adsense_jpy,yt_ad_rev_jpy,ad_impressions,cpm_playback_jpy,cpm_jpy,rpm_jpy,monetized_playbacks,premium_views,premium_watch_hours,endscreen_clicks,endscreen_impressions,endscreen_ctr,views,watch_hours,subs_gained,est_revenue_jpy,impressions,impression_ctr,avg_watch_sec,format,rev_per_view,watch_hours_per_view,subs_per_1k_views,impressions_per_view,year,age_days,views_per_day,length_bin,tag,length_min,rev_per_day,expected_views,performance_index,gap_from_prev_days,gap_to_next_days,uploads_prev_90d,uploads_prev_180d,pub_year,pub_year_month,is_long_gap
tiGERav_1iQ,【アンマリその１】初コラボで殴り合うアンジュとマリン船長【にじさんじ/ホロライブ切り抜き】,2023-02-24,907.0,157473,0:05:38,37.28,2307.441,8259.379,0.0,8259.379,15016.313,37399.0,575.845,401.516,67.043,26077.0,40374,3874.9242,1623,80411,2.02,157473,14789.2533,261,10566.82,3712172,2.9,338,Long,0.0671024239075905,0.0939161208588139,1.6574269874835688,23.57338718383469,2023,1156,136.22231833910035,10-20m,"first_collab,collab",15.116666666666667,9.140847750865051,154637.05544980362,1.0183393594888837,,14.0,0.0,0.0,2023,2023-02,False
yeahBDJu-Xg,【ベルアン捏造①】初コラボから当たりまくるアンジュ出会い（遭遇）編【にじさんじ切り抜き】,2023-03-10,1344.0,656206,0:07:54,35.34,27872.504,121107.623,0.0,121107.623,220185.845,469363.0,733.005,469.116,226.782,300388.0,142781,20941.3532,7921,362088,2.19,656206,86574.9433,1113,148980.267,12006792,3.58,474,Long,0.2270327717210754,0.1319325688884283,1.696113720386586,18.29729078978248,2023,1142,574.6112084063047,20-30m,"first_collab,collab",22.4,130.45557530647986,152919.7842396488,4.291177909142379,14.0,21.0,1.0,1.0,2023,2023-03,False
4ZYJdZRvDwo,【イブアン①】初コラボからライバーの反応まで…劇薬てえてえ版【にじさんじ切り抜き】,2023-03-31,1891.0,626601,0:10:27,33.16,43884.366,166635.27,0.0,166635.27,302962.265,685046.0,766.44,442.251,335.8,395285.0,169408,30161.4619,10329,359826,2.87,626601,109133.8831,847,210519.944,10496627,3.65,627,Long,0.3359712863528784,0.1741680640471368,1.351737389503049,16.751692065604747,2023,1121,558.9661016949152,30-40m,"teetee,first_collab",31.516666666666666,187.79656021409454,150340.57244934922,4.167876906356108,21.0,12.0,2.0,2.0,2023,2023-03,False
E_nP6_LUwjE,【微グロ注意】見える世界が二人で変わる話題の最新ゲーム 2視点を比較【 違う冬のぼくら/戌亥とこ/アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-04-12,806.0,187239,0:04:50,36.1,1545.435,4787.999,0.0,4787.999,8705.1,27041.0,403.893,321.922,33.812,21553.0,34086,3665.1069,903,71395,1.26,187239,15131.5846,145,6333.434,3469339,4.1,290,Long,0.0338253996229418,0.0808142780083209,0.7744113138822575,18.528933608916947,2023,1109,168.83588818755635,10-20m,collab,13.433333333333334,5.710941388638413,148864.9296003706,1.25777777548174,12.0,16.0,3.0,3.0,2023,2023-04,False
tHjMQ8sV3QE,【みこアン①】からかい上手のみこと様と照れるアンジュまとめ/初デート編【にじさんじ/アンジュ・カトリーナ/竜胆尊/切り抜き】,2023-04-28,1649.0,166598,0:10:51,39.49,,,,,,,,,,,55295,10154.5932,2558,62604,4.09,166598,30137.6735,351,,2849835,3.42,651,Long,,0.1809005720356787,2.106868029628207,17.10605769577066,2023,1093,152.42268984446477,20-30m,collab,27.483333333333334,,146895.3282398852,1.134127286389528,16.0,6.0,4.0,4.0,2023,2023-04,False
bP_Vn19u6Y4,【てえてえ注意】とにかくイチャつくみこアンまとめ②【にじさんじ切り抜き/アンジュ・カトリーナ/竜胆尊】,2023-05-04,2116.0,121856,0:14:31,41.2,15988.957,33984.58,0.0,33984.58,61783.907,125094.0,934.421,493.9,409.998,66120.0,40629,10061.4752,1345,53399,2.52,121856,29511.666,215,49973.537,1378722,4.53,871,Long,0.4101032119879201,0.2421847590598739,1.7643776260504205,11.314354648109244,2023,1087,112.10303587856485,30-40m,"compilation,teetee,collab",35.266666666666666,45.9738150873965,146156.1087378947,0.833738671973864,6.0,29.0,5.0,5.0,2023,2023-05,False
aZ-PiV22CFs,【笹ベルアン争奪戦】笹木&アンジュに板挟み(意味深)になるベルさん編【にじさんじ切り抜き】,2023-06-02,1771.0,273667,0:11:51,40.2,26949.102,91255.304,0.0,91255.304,165908.958,331257.0,949.696,500.847,431.8,174697.0,73943,15319.4252,1838,102067,1.8,273667,54114.7281,284,118204.595,4074296,3.86,711,Long,0.4319285664694683,0.1977393258960707,1.0377575666777508,14.88778698198906,2023,1058,258.66446124763706,20-30m,collab,29.516666666666666,111.72456994328923,142578.37334974864,1.9194145196809573,29.0,14.0,5.0,6.0,2023,2023-06,False
4isid3PNoA8,【ベルアン捏造②】とにかくイチャつくアンジュとツンデレなベルさんの尊い関係編【にじさんじ切り抜き】,2023-06-16,1437.0,393922,0:09:54,41.35,30125.243,112619.598,0.0,112619.598,204755.056,438028.0,809.974,467.447,362.142,252792.0,100695,17389.0777,9908,202621,4.89,393922,65011.1564,517,142744.938,5626983,4.14,594,Long,0.3623685348876173,0.1650356070491112,1.312442564771706,14.284510639162068,2023,1044,377.3199233716475,20-30m,collab,23.95,136.72886781609196,140848.27155868342,2.79678263453787,14.0,1.0,5.0,7.0,2023,2023-06,False
6zA8ajECkDA,"【おめでとう🎉✨】３D版ツボおじクリアまでのまとめ/２日間で""てっぺんの景色""を見せくれたアンジュ【 OnlyUp!/アンジュ・カトリーナ/切り抜き/にじさんじ 】",2023-06-17,1127.0,68763,0:07:30,39.94,4845.1,12404.962,0.0,12404.962,22553.538,53052.0,571.091,425.121,250.862,39492.0,18810,2484.4461,685,32010,2.14,68763,8597.3963,57,17250.061,1208068,4.35,450,Long,0.2508625423556273,0.1250293951689135,0.8289341651760395,17.5685761237875,2023,1043,65.92809204218601,10-20m,other,18.783333333333335,16.538888782358583,140724.61902380525,0.4886351832181398,1.0,10.0,6.0,8.0,2023,2023-06,False
mK8tLKPPgT0,【爆笑😆】プレイほど味が出る！天才弁護士アンジュカトリーナの逆転裁判まとめ【 アンジュ・カトリーナ/切り抜き/にじさんじ 】,2023-06-27,617.0,32017,0:04:48,43.23,1219.765,4210.355,0.0,4210.355,7655.02,20551.0,482.358,372.489,169.599,15870.0,8481,737.015,290,17588,1.65,32017,2568.9106,54,5430.119,535041,4.59,288,Long,0.1696011181559796,0.0802358309647999,1.6866039916294469,16.71115344972983,2023,1033,30.994191674733784,10-20m,other,10.283333333333333,5.256649564375604,139487.54751516457,0.2295330340976798,10.0,165.0,7.0,9.0,2023,2023-06,False
06cMtCNFOTI,【激かわ】デビューした新人にカトリーナ面接をさせご満悦のアンジュまとめ【にじさんじ切り抜き/アンジュ・カトリーナ】,2023-12-09,233.0,10732,0:01:48,46.48,196.258,1535.821,0.0,1535.821,2792.389,8908.0,346.107,313.47,161.481,8068.0,3347,100.1185,134,5763,2.33,10732,322.7955,15,1732.114,134884,3.8,108,Long,0.1613971300782705,0.030077851285874,1.3976891539321656,12.568393589265748,2023,868,12.36405529953917,1-10m,other,3.8833333333333333,1.9955230414746543,118922.89628862745,0.09024334535170833,165.0,20.0,0.0,3.0,2023,2023-12,True
8zzMPgZ6bC8,【グロ注意】開始３か月で累計30万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2023-12-29,2849.0,1096327,0:14:11,29.89,152203.381,261346.232,2.582,261343.65,475165.362,1025078.0,797.172,463.541,377.222,596064.0,298242,77165.0885,3827,491700,0.78,1096327,259330.5491,993,413549.791,29576551,2.35,851,Long,0.3772139069821322,0.2365448895265737,0.9057516598606072,26.97785514723253,2023,848,1292.8384433962265,40-50m,gacha,47.483333333333334,487.6766403301887,116409.09206520133,9.417881202835442,20.0,55.0,1.0,1.0,2023,2023-12,False
bv2iwq17LVY,【フレンとこ①】初コラボから尊敬する仲良し(神)になるまでの最高に「てえてえ」総集編(他のライバー反応あり)【にじさんじ/切り抜き/戍亥とこ/フレン・E・ルスタリオ/】,2024-02-22,3643.0,1395062,0:16:50,27.75,274928.156,500510.644,0.655,500509.989,909988.858,1902565.0,1144.99,478.296,555.558,794757.0,512947,149382.2231,3753,526067,0.71,1395062,391680.9063,1663,775439.244,21147529,3.14,1010,Long,0.5558457215521604,0.2807623648984776,1.1920617148198431,15.158845269959327,2024,793,1759.2206809583859,60m+,"compilation,teetee,first_collab,collab",60.71666666666667,977.8552887767969,109470.18369651554,12.74376230031306,55.0,36.0,2.0,2.0,2024,2024-02,False
BtP5GcSnRvA,リスナーと一方的に結婚しイマジナリーな「しげみ」を出産し看取られるアンジュ・カトリーナ狂気まとめ①【アンジュ・カトリーナ/にじさんじ切り抜き】,2024-03-29,1617.0,55705,0:12:21,45.88,9475.122,15950.054,0.0,15950.054,29000.164,54892.0,931.493,528.313,456.593,31133.0,23672,5013.534,359,39953,0.9,55705,11479.0252,55,25425.175,714354,2.9,741,Long,0.4564253657660892,0.2060681303294138,0.9873440445202406,12.82387577416749,2024,757,73.58652575957728,20-30m,compilation,26.95,33.586756935270806,104906.70639069329,0.5309956047284868,36.0,91.0,1.0,3.0,2024,2024-03,False
27WNi57l-L8,【10分でわかる】さんばかてえてえまとめ①【アンジュ・カトリーナ/リゼ・ヘルエスタ/戌亥とこ/にじさんじ】,2024-06-28,3101.0,389739,0:15:02,29.1,71342.402,190815.888,0.0,190815.888,346910.249,628290.0,1396.298,552.15,672.702,248450.0,134041,36038.2408,1004,52539,1.91,389739,97680.1755,459,262158.29,7089068,3.33,902,Long,0.6726509022704938,0.2506297175802268,1.1777112375204946,18.189270255222084,2024,666,585.1936936936937,50-60m,"compilation,teetee,collab",51.68333333333333,393.631066066066,93287.99441736822,4.1778044692044425,91.0,168.0,0.0,2.0,2024,2024-06,True
IfqMm5O2yKI,【グロ注意】開始７か月で累計56万突っ込んだアンジュのガチャ配信爆速まとめ【にじさんじ切り抜き】【アンジュ・カトリーナ】,2024-12-13,4094.0,377453,0:18:18,26.83,70703.413,149340.714,0.0,149340.714,271515.763,559227.0,1170.2,485.52,582.953,232025.0,115661,36632.2332,1094,149928,0.73,377453,115161.8187,388,220044.189,7924489,3.2,1098,Long,0.5829710957390721,0.3051024066572527,1.0279425517879046,20.99463774297727,2024,498,757.937751004016,60m+,gacha,68.23333333333333,441.85580120481933,71469.66439458057,5.281303657956195,168.0,22.0,0.0,1.0,2024,2024-12,True
2g2QaBEWz5I,【泥酔】正月に酒を飲み、真理に辿り着くにじさんじの錬金術師ww【アンジュカトリーナ】,2025-01-04,79.0,1211,0:00:40,51.88,3.706,0.0,0.0,0.0,,,,,17.611,,362,3.7068,0,0,,1429,13.8632,0,21.339,40651,0.76,40,Long,0.0149328201539538,0.0097013296011196,0.0,28.447165850244925,2025,476,3.0021008403361344,1-10m,other,1.3166666666666667,0.04482983193277311,68570.56578173865,0.020839845547556555,22.0,1.0,1.0,1.0,2025,2025-01,False
UmG9xMcpWAE,【熟年夫婦?】アンジュとサロメが見る酔っ払い新年配信が湿度高めで面白い【にさんじ/切り抜き】,2025-01-05,288.0,151745,0:02:41,55.98,4858.525,23562.952,0.0,23562.952,42837.357,105402.0,496.895,406.419,187.157,86210.0,54468,2558.8531,0,0,,151745,6795.6895,88,28423.283,2740909,4.36,161,Long,0.1873095192592836,0.0447836139576262,0.5799202609641174,18.062598438169296,2025,475,319.46315789473687,1-10m,collab,4.8,59.83849052631579,68438.52638676121,2.2172452858271017,1.0,138.0,2.0,2.0,2025,2025-01,False
ROzfh_3D5Jo,【リゼるり①】初コラボから姉妹(?)になるまでの最高に「てえてえ」総集編【にじさんじ/切り抜き/リゼ・ヘルエスタ/栞葉るり】,2025-05-23,3704.0,291055,0:19:16,31.21,78541.761,120743.611,0.0,120743.611,219509.232,406153.0,1339.876,540.459,684.561,163828.0,126182,42561.0542,993,119200,0.83,291055,93464.2843,370,199285.446,6135440,2.64,1156,Long,0.684700300630465,0.3211224143203174,1.2712373949940732,21.080002061466047,2025,337,863.6646884272997,60m+,"compilation,teetee,first_collab,collab",61.733333333333334,591.351471810089,49966.97770094298,5.824947062878033,138.0,142.0,0.0,3.0,2025,2025-05,True
g5UgDFXpIYk,【てぇてえ総集編①】初コラボから夫婦(?)のようになるまでの最高にかわいい総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-12,3417.0,36378,0:19:28,34.2,8887.914,14391.245,0.0,14391.245,26160.608,50678.0,1117.306,516.212,637.483,23414.0,14601,4899.4103,304,17485,1.74,36378,11810.1597,59,23279.159,600754,3.75,1168,Long,0.6399241024795206,0.3246511545439551,1.6218593655506075,16.51421188630491,2025,195,186.55384615384617,50-60m,"compilation,first_collab,collab",56.95,119.38030256410256,30263.9712807636,1.2020233452680615,142.0,19.0,0.0,1.0,2025,2025-10,True
sPtG_pnU-xw,【てぇてえ総集編②】初コラボから最高にてぇてぇ関係になるまでの総まとめ編【にじさんじ切り抜き/アンジュ・カトリーナ/壱百満天原サロメ】,2025-10-31,1717.0,25917,0:13:27,47.04,4576.761,10966.549,0.0,10966.549,19931.165,36721.0,1286.463,542.773,599.107,15493.0,10806,2510.6652,303,18602,1.63,25917,5814.5628,23,15543.31,312257,4.3,807,Long,0.5997341513292433,0.2243532353281629,0.8874483929467145,12.048346645059228,2025,176,147.2556818181818,20-30m,"compilation,teetee,first_collab,collab",28.616666666666667,88.31426136363636,27549.984068345253,0.9407264968177771,19.0,14.0,1.0,2.0,2025,2025-10,False
gufD7_XysaE,【劇場版ベルアン捏造①】出会い(遭遇)から結婚(捏造)までのてぇてぇやりとり総まとめ①【にじさんじ/アンジュカトリーナ/ベルモンドバンデラス】,2025-11-14,3996.0,101130,0:20:20,30.55,21472.734,58658.845,0.0,58658.845,106592.713,194700.0,1367.152,547.472,793.219,77967.0,33128,11844.4293,511,41895,1.22,101130,34293.3799,99,80131.579,1975129,3.3,1220,Long,0.7923620982893306,0.3391019469989123,0.9789380005932956,19.5305942845842,2025,162,624.2592592592592,60m+,"compilation,teetee,collab",66.6,494.6393765432099,25534.61645058898,3.9605059349801723,14.0,126.0,2.0,3.0,2025,2025-11,False
7Wp6dxj0J5o,【10分でわかる】皇女と美大生の出会いと別れそして復活まとめ①【にじさんじ/リゼへルエスタ/鈴原るる】,2026-03-20,2917.0,31680,0:12:18,25.31,4946.901,16455.139,0.0,16455.139,29909.51,42684.0,1563.405,700.719,675.812,19131.0,12084,2768.8033,113,13203,0.86,31680,6496.2,22,21402.04,806323,2.96,738,Long,0.6755694444444444,0.2050568181818181,0.6944444444444444,25.452114898989898,2026,36,880.0,40-50m,"compilation,collab",48.61666666666667,594.5011111111112,6433.645004587502,4.924113776468957,126.0,7.0,0.0,3.0,2026,2026-03,True
L5nY1arYJ1M,【劇場版パパ?】初コラボから振り回される夢追パパと星川サラ(娘)の夢星家総まとめ,2026-03-27,2913.0,98557,0:15:17,31.49,16839.884,42298.586,0.0,42298.586,76777.449,125316.0,1032.955,612.671,599.657,74328.0,34273,9580.7897,0,0,,98557,25111.2541,89,59138.47,2795789,2.64,917,Long,0.6000433251823818,0.254789148411579,0.9030307334841768,28.367229116145985,2026,29,3398.5172413793102,40-50m,"compilation,first_collab,collab",48.55,2039.2575862068966,5277.07405730174,18.676448147175314,7.0,12.0,1.0,4.0,2026,2026-03,False
vp72-fovks4,【100万人懺悔!?】記念配信でずっと言えなかったデビュー時の嘘を泣きながら謝る配信に...【にじさんじ／アンジュ・カトリーナ】,2026-04-08,271.0,76,0:01:58,43.73,1.865,8.644,0.0,8.644,15.719,45.0,392.975,349.311,138.276,40.0,35,1.0677,1,70,1.43,76,2.502,0,10.509,673,7.28,118,Long,0.1382763157894737,0.0329210526315789,0.0,8.855263157894736,2026,17,4.470588235294118,1-10m,other,4.516666666666667,0.6181764705882353,3234.5271700502813,0.023496479084706087,12.0,3.0,2.0,5.0,2026,2026-04,False
XsefWP-oKek,【劇場版てぇてぇ】初配信から100万人到達までのリゼアン総まとめ【にじさんじ/アンジュ・カトリーナ/リゼ・ヘルエスタ】,2026-04-11,4466.0,44764,0:18:58,25.49,10782.663,12470.142,0.0,12470.142,22531.69,46294.0,916.146,486.709,515.222,24594.0,19086,6224.4888,37,20975,0.18,44764,14152.8126,45,23252.806,1181222,2.61,1138,Long,0.5194532660173353,0.3161650567420248,1.0052720936466804,26.387766955589317,2026,14,3197.4285714285716,60m+,"compilation,teetee,collab",74.43333333333334,1660.9147142857144,2707.2622507741207,16.534785275124374,3.0,,3.0,5.0,2026,2026-04,False
